The system is accurate,The system is unreliable,The interaction with the system is unpredictable,The system didn't always do what I wanted,The system didn't always do what I expected,The system is dependable,The system makes few errors,The interaction with the system is consistent,The interaction with the system is efficient,The system is useful,The system is pleasant,The system is friendly,I was able to recover easily from errors,I enjoyed using the system,It is clear how to speak to the system,It is easy to learn to use the system,I would use this system,I felt in control of the interaction with the system,The interaction with the system is repetitive,The interaction with the system is boring,The interaction with the system is irritating,The interaction with the system is frustrating,The system is too inflexible,age,gender,version,Memory
5,4,3,2,5,2,5,7,3,6,6,6,4,6,4,7,4,6,7,2,2,3,3.0,23.0,Man,B,Complete memory
3,5,3,5,5,5,3,5,5,5,5,5,2,5,4,6,4,5,2,3,3,3,2.0,23.0,Man,A,Short-term only
6,1,1,1,2,6,7,7,6,7,7,7,7,7,7,6,7,6,1,2,1,1,3.0,24.0,Woman,B,Complete memory
3,6,2,3,3,4,2,3,2,5,5,7,6,3,6,7,2,6,5,5,5,2,5.0,23.0,Man,A,Short-term only
5,2,2,5,3,5,6,7,2,5,6,7,2,6,6,7,5,5,3,5,5,7,2.0,22.0,Man,B,Complete memory
6,3,3,2,4,5,4,3,5,5,7,7,4,5,7,7,4,6,5,5,2,3,5.0,24.0,Woman,A,Short-term only
3,2,1,1,7,6,7,7,2,5,5,4,4,6,7,7,5,6,7,5,5,5,2.0,21.0,Man,B,Complete memory
5,5,5,5,5,4,3,4,6,6,5,6,3,7,5,6,6,5,5,3,5,4,3.0,27.0,Man,A,Short-term only
5,1,1,4,1,5,4,7,3,4,7,7,1,7,7,7,4,5,7,1,4,4,5.0,22.0,Man,B,Complete memory
5,2,1,5,4,2,6,7,6,7,7,7,5,7,7,7,6,6,4,3,2,2,2.0,22.0,Man,A,Short-term only
4,2,3,2,2,6,5,6,6,6,3,5,2,5,7,6,5,4,7,6,5,5,6.0,22.0,Man,A,Short-term only
4,5,5,6,4,4,5,6,4,4,1,1,7,5,5,7,3,5,5,3,4,4,3.0,22.0,Man,B,Complete memory
5,6,5,6,7,2,6,6,5,2,3,6,5,4,3,5,2,2,7,2,6,6,7.0,21.0,Man,B,Complete memory
4,3,3,5,5,2,3,6,2,5,3,5,3,3,6,6,3,3,6,6,5,3,2.0,24.0,Man,B,Complete memory
4,6,4,4,7,4,6,3,5,2,5,7,7,5,7,7,2,4,1,3,2,3,2.0,,Man,B,Complete memory
6,2,2,5,2,6,5,7,6,6,7,7,4,7,7,7,6,6,5,1,1,1,1.0,,Man,B,Complete memory
4,2,2,4,2,5,5,7,5,5,5,6,2,6,6,6,6,7,3,1,1,1,2.0,,Woman,B,Complete memory
5,2,3,5,5,6,3,6,6,6,6,3,5,6,7,7,5,6,6,2,2,3,6.0,,Woman,A,Short-term only
5,4,4,5,5,4,4,4,4,6,5,6,5,5,5,6,2,6,5,5,6,1,4.0,,Woman,A,Short-term only
6,3,4,3,5,7,4,6,4,5,5,6,4,7,5,5,4,3,6,3,2,3,,,Man,B,Complete memory
5,6,5,3,5,4,3,3,2,3,4,3,5,3,6,4,1,2,6,5,5,4,4.0,,Man,A,Short-term only
6,1,1,1,4,5,2,5,5,6,5,6,6,7,7,5,5,5,4,1,1,1,1.0,,Woman,B,Complete memory
6,1,1,2,1,6,6,6,7,7,7,7,6,7,7,6,6,7,2,1,1,2,2.0,,Man,A,Short-term only
6,2,2,4,5,5,4,4,4,6,4,5,4,7,3,2,5,1,5,5,1,2,2.0,,Man,B,Complete memory
5,3,2,4,5,5,4,6,6,6,4,6,6,5,7,6,5,5,4,4,2,1,5.0,,Man,A,Short-term only
4,5,5,6,5,4,5,6,4,3,4,4,3,6,7,7,3,5,5,2,2,4,6.0,,Man,A,Short-term only
5,3,3,5,5,5,5,6,5,4,4,5,5,6,5,6,5,4,5,4,2,2,2.0,,Woman,B,Complete memory
5,2,1,2,2,6,5,6,4,7,5,6,5,6,5,5,6,6,2,4,3,4,2.0,,Woman,B,Complete memory
4,5,5,6,7,2,6,4,3,2,3,7,4,4,3,7,2,2,7,5,4,5,5.0,,Woman,B,Complete memory
4,2,5,2,6,5,5,6,7,7,6,6,5,7,6,5,6,7,4,2,1,1,1.0,,Woman,A,Short-term only
